# MATRIZ 100X100
# 
8795 8459 8738 9200 8674 9301 9251 8695 8977 9180 9795 8501 7831 7841 9375 9107 9007 8742 9742 9519 8944 8741 7843 8041 9579 8962 9252 8962 8265 8592 9081 9585 9775 8607 7561 8668 8862 8652 9909 9011 9469 9097 8758 8326 8598 8067 9670 8773 9052 8414 8102 9800 7977 8193 8505 9415 8393 8272 9159 9465 8813 8762 8868 8686 7855 8317 8291 9065 8297 9103 7747 9006 8985 9068 9742 9336 8821 8943 8675 8599 9597 9534 8703 8604 8408 7837 9600 8246 9089 8233 7981 10046 10018 8274 8926 8514 9481 8903 8115 10334
9645 9714 8986 9802 10486 10330 10389 9162 9727 9603 9992 9787 9608 8730 10317 10000 9335 9515 10432 10590 10212 10202 9479 7928 10439 10339 10289 9841 9665 9432 9515 10435 10602 10150 8788 9228 9133 9057 10488 10714 10122 9940 9294 9344 9598 9418 11448 9660 9069 9607 8520 10699 9908 9199 9247 10230 9132 9333 8898 10344 9624 10271 10320 10208 10299 9319 9622 10436 10266 10668 8850 9817 9419 10049 9964 11231 9381 9038 9483 10159 10788 9656 8742 9089 9484 9455 10200 9133 9810 9868 8983 10988 10673 9218 10581 9762 10171 9685 9330 10872
9232 8087 7734 9218 8914 8590 9129 8507 8654 9139 9393 8854 9499 8574 9477 9135 8812 8731 9348 10076 9372 8917 8115 7936 9427 9675 8973 8259 8732 9025 9549 9781 9823 9027 8139 8613 8338 8725 9068 8691 9675 8749 8158 7735 9023 8568 10274 8594 7998 8601 8218 9262 9130 8455 8208 9137 8805 8310 8880 9629 8477 8975 9299 9233 8436 8345 8694 9630 9107 9352 8660 8524 8622 8833 9677 10192 9381 8387 9090 8788 9151 8755 7628 8452 7978 8174 9287 7910 8484 8430 8222 9328 9919 8592 8996 8544 8984 9178 8837 10002
9994 9297 8176 8996 9625 9462 9118 8637 9620 9565 10354 9036 9689 8172 9462 9804 8721 9235 10051 9642 9125 9506 9192 8569 10415 9860 10111 8915 9440 9483 9291 10644 9948 9333 8337 8649 8920 9535 10205 9693 9709 10063 9015 8956 8992 8683 10536 9167 9684 9159 9062 9768 9419 9227 8929 10280 9159 8521 8744 10199 8529 10249 9573 9264 9350 9096 9215 9616 9969 10013 7981 9373 8362 9612 9858 10432 8643 9443 9790 9634 9982 9138 8380 8464 8887 8607 9528 8820 8649 8702 9157 10749 10088 9174 9872 9233 9073 9497 8660 9739
8586 7449 6777 7193 7854 8151 7686 7200 8060 7822 8622 7588 7745 6888 7979 7703 7410 7589 8267 8180 7851 7919 7407 6686 7936 7935 8475 7558 7424 7838 7807 8459 7987 7461 6981 7190 6866 7629 8555 7894 7808 7626 7417 6775 7749 7271 8144 7285 7444 7047 6778 7830 6963 6921 8132 7717 7575 6831 6659 8108 7984 7997 7568 7234 7298 7435 7198 8697 8090 8569 7145 8058 7508 7422 7813 8166 7652 7581 7517 7207 8658 7866 6911 6770 6988 6856 8432 7361 7372 7298 6966 9166 8336 6702 7678 7675 7600 8088 6684 7989
9016 8833 8380 8860 8627 9741 9176 8160 8792 8804 9776 8958 9205 8377 9879 9224 8621 9310 10338 9481 9857 8689 8489 7718 9754 9102 10388 9096 8773 8774 9244 9413 9471 8964 7742 8632 8422 8570 9521 9268 8917 8984 8443 8597 7993 8931 10419 7903 8674 8501 7923 9273 8595 8665 8351 9389 8541 8158 8148 10077 8751 8634 9143 8714 8813 8691 8829 9594 9083 9876 8165 9342 8187 8831 9207 9921 8991 8247 9251 9149 9790 9121 8683 8355 8331 8132 9357 8133 8830 8212 8400 10279 9664 8394 9807 8954 9021 9383 8027 9560
8524 7708 7875 8864 8477 8522 8176 7884 8545 8556 8907 7814 8452 6962 8770 8712 8026 8081 9540 8461 8472 8897 7746 7526 8851 8717 9614 7455 7985 8192 7767 9286 9369 8159 8037 7785 8227 8099 8995 7310 9422 8929 8352 7772 8748 7864 9384 7802 8234 9074 7780 9590 8391 8113 7801 8593 8067 6790 7930 8122 7909 9309 8894 8534 8081 7996 7656 9129 8637 8506 7372 9054 7499 8548 9177 8928 8487 8481 8823 7822 9117 8586 7948 7390 7993 8007 9264 8005 8397 7906 7310 10393 9352 7939 8134 8317 8456 8546 7722 8928
8263 7845 8128 8558 8519 8166 8087 8276 8875 9157 8454 8099 8650 7564 9760 8397 8312 9115 8987 8783 8391 8054 8086 7407 8914 9017 8449 7705 8992 7950 8380 8912 8967 8671 8169 8073 8126 8743 8615 8614 8825 8742 8065 7749 8472 8516 9277 8241 8109 8405 7814 9218 8507 8499 7952 8208 7909 7702 7910 9494 7892 9177 8619 8844 8235 8314 7204 9035 8886 9481 7492 8597 8061 8374 8329 9412 8585 8432 8757 8692 8903 8503 7490 7738 7756 7817 9078 7929 8681 8440 7827 8804 9121 7570 8367 8021 8371 9047 8187 9517
9815 9156 8403 9924 8944 10062 9584 8918 9894 9429 10785 9749 9092 8656 9531 9859 9006 9822 10772 10152 9712 10010 9280 8747 10492 9535 10095 8720 9401 9572 9747 11152 10635 9966 8149 8679 9325 9047 10806 9338 9702 10339 8993 9316 9820 9193 10589 9494 9866 9026 9536 10158 8724 9254 8973 9976 9220 8582 9207 10200 9086 9538 9541 9612 9301 8929 9882 10234 9327 9823 7941 9045 9069 9799 10582 10426 10150 9781 9673 10322 10265 9810 9343 9319 8832 8526 9538 8732 9388 8555 8934 10880 11196 9371 10145 9317 9305 9790 8599 10652
9890 9144 8278 9042 9508 9384 9594 8374 9250 9363 9819 8763 9858 8178 9225 9701 9282 9121 9382 9112 9471 9078 8020 8002 9699 9591 9277 8822 9174 9497 9740 10279 9156 9544 8226 8792 8473 8826 10012 9850 9777 9560 9386 8128 8513 8890 10396 8731 8934 9318 8491 9387 10411 9655 8710 9844 8560 8292 8729 9412 8949 10328 9203 9165 9317 8129 8956 9782 9584 9508 7747 9177 8397 9759 9738 10557 8744 9582 9687 9553 9743 9546 8189 8125 8863 8902 9889 8316 8886 9329 8859 9977 9784 9410 9030 9049 9419 9154 8708 10114
